id,sentence,words,suffixes,prompt,gold_answer,template
bilkent-turkish-writings-1701,Durum sandığım kadar kötü olmasa da en azından son dönemde belirli bir hedefimin ___ bu duruma sebep olduğunu anlamış oldum,['ol'],"['nin', 'nün', 'm', 'm', 'si', 'me', 'ın', 'ma', 'ma', 'nn', 'sı', 'nun', 's', 'me', 'ün', 'n', 'su', 'in', 'un', 'sü', 'nın']","You are given a sentence in Turkish with missing words and your task is to fill in the blanks with the words constructed from the given word roots and suffixes. You are allowed to use only the given words and suffixes. Output only the missing words inside square brackets separated by commas according to their order in the given sentence.

Example 1:
Sentence: ""Marilyn Monroe ___ hep güzel sarışın olarak kaldı""
Words: ['akıl']
Suffixes: ['de', 'lar', 'da', 'ler']
Missing words: ['akıllarda']


Example 2:
Sentence: ""Kitap, dizi kadar hatta belki diziden de ___""
Words: ['sürükle']
Suffixes: ['dı', 'ydi', 'ydı', 'di', 'yici', 'ici', 'ıcı', 'yıcı']
Missing words: ['sürükleyiciydi']


Example 3:
Sentence: ""Babacan diyorum çünkü çocukluğumuzda bizi hep kucaklardı, ___ ses çıkarmayan yaşlı bir dede edası ile kavuklarının arasında zıplayıp oyunlar uydurmamıza izin verirdi""
Words: ['yaramaz']
Suffixes: ['ımız', 'a', 'lik', 'imiz', 'lar', 'na', 'ler', 'ümüz', 'lık', 'e', 'ne', 'luk', 'lük', 'umuz']
Missing words: ['yaramazlıklarımıza']


Example 4:
Sentence: ""Durum sandığım kadar kötü olmasa da en azından son dönemde belirli bir hedefimin ___ bu duruma sebep olduğunu anlamış oldum""
Words: ['ol']
Suffixes: ['nin', 'nün', 'm', 'm', 'si', 'me', 'ın', 'ma', 'ma', 'nn', 'sı', 'nun', 's', 'me', 'ün', 'n', 'su', 'in', 'un', 'sü', 'nın']
Missing words: 
",['olmamasının'],bfill
bilkent-turkish-writings-1239,"Bir süre ayrı kalan çift, acıya artık ___ ve her şeyi yok sayarak bir araya gelir",['dayan'],"['m', 'me', '', 'e', 'ma', 'ya', 'y', 'ye', 'z', 'a']","You are given a sentence in Turkish with missing words and your task is to fill in the blanks with the words constructed from the given word roots and suffixes. You are allowed to use only the given words and suffixes. Output only the missing words inside square brackets separated by commas according to their order in the given sentence.

Example 1:
Sentence: ""Marilyn Monroe ___ hep güzel sarışın olarak kaldı""
Words: ['akıl']
Suffixes: ['de', 'lar', 'da', 'ler']
Missing words: ['akıllarda']


Example 2:
Sentence: ""Kitap, dizi kadar hatta belki diziden de ___""
Words: ['sürükle']
Suffixes: ['dı', 'ydi', 'ydı', 'di', 'yici', 'ici', 'ıcı', 'yıcı']
Missing words: ['sürükleyiciydi']


Example 3:
Sentence: ""Babacan diyorum çünkü çocukluğumuzda bizi hep kucaklardı, ___ ses çıkarmayan yaşlı bir dede edası ile kavuklarının arasında zıplayıp oyunlar uydurmamıza izin verirdi""
Words: ['yaramaz']
Suffixes: ['ımız', 'a', 'lik', 'imiz', 'lar', 'na', 'ler', 'ümüz', 'lık', 'e', 'ne', 'luk', 'lük', 'umuz']
Missing words: ['yaramazlıklarımıza']


Example 4:
Sentence: ""Bir süre ayrı kalan çift, acıya artık ___ ve her şeyi yok sayarak bir araya gelir""
Words: ['dayan']
Suffixes: ['m', 'me', '', 'e', 'ma', 'ya', 'y', 'ye', 'z', 'a']
Missing words: 
",['dayanamaz'],bfill
bilkent-turkish-writings-6740,"Yazıyı bir ___ alet etmenin ötesinde, onu değiştirdik, yeri geldi hakaret ettik",['şey'],"['e', 'lr', 'lar', '', 'ler', 'ye', 'y', 'a', 'ya']","You are given a sentence in Turkish with missing words and your task is to fill in the blanks with the words constructed from the given word roots and suffixes. You are allowed to use only the given words and suffixes. Output only the missing words inside square brackets separated by commas according to their order in the given sentence.

Example 1:
Sentence: ""Marilyn Monroe ___ hep güzel sarışın olarak kaldı""
Words: ['akıl']
Suffixes: ['de', 'lar', 'da', 'ler']
Missing words: ['akıllarda']


Example 2:
Sentence: ""Kitap, dizi kadar hatta belki diziden de ___""
Words: ['sürükle']
Suffixes: ['dı', 'ydi', 'ydı', 'di', 'yici', 'ici', 'ıcı', 'yıcı']
Missing words: ['sürükleyiciydi']


Example 3:
Sentence: ""Babacan diyorum çünkü çocukluğumuzda bizi hep kucaklardı, ___ ses çıkarmayan yaşlı bir dede edası ile kavuklarının arasında zıplayıp oyunlar uydurmamıza izin verirdi""
Words: ['yaramaz']
Suffixes: ['ımız', 'a', 'lik', 'imiz', 'lar', 'na', 'ler', 'ümüz', 'lık', 'e', 'ne', 'luk', 'lük', 'umuz']
Missing words: ['yaramazlıklarımıza']


Example 4:
Sentence: ""Yazıyı bir ___ alet etmenin ötesinde, onu değiştirdik, yeri geldi hakaret ettik""
Words: ['şey']
Suffixes: ['e', 'lr', 'lar', '', 'ler', 'ye', 'y', 'a', 'ya']
Missing words: 
",['şeylere'],bfill
bilkent-turkish-writings-6389,"Eğer o insanlar sisteme karşı isyan etmeyip o akıntıya ___ kendilerini, günümüzdeki imkanlarımız daha kısıtlı olacaktı",['bırak'],"['ydu', 'tu', 'tı', 'tü', 't', 'ydı', 'ytu', 'dü', 'lar', 'ler', 'ytü', 'yti', 'lr', 'ydi', 'yd', 'ydü', 'ti', 'yt', 'ytı', 'd', 'du', 'se', 'dı', 'sa', 's', 'di']","You are given a sentence in Turkish with missing words and your task is to fill in the blanks with the words constructed from the given word roots and suffixes. You are allowed to use only the given words and suffixes. Output only the missing words inside square brackets separated by commas according to their order in the given sentence.

Example 1:
Sentence: ""Marilyn Monroe ___ hep güzel sarışın olarak kaldı""
Words: ['akıl']
Suffixes: ['de', 'lar', 'da', 'ler']
Missing words: ['akıllarda']


Example 2:
Sentence: ""Kitap, dizi kadar hatta belki diziden de ___""
Words: ['sürükle']
Suffixes: ['dı', 'ydi', 'ydı', 'di', 'yici', 'ici', 'ıcı', 'yıcı']
Missing words: ['sürükleyiciydi']


Example 3:
Sentence: ""Babacan diyorum çünkü çocukluğumuzda bizi hep kucaklardı, ___ ses çıkarmayan yaşlı bir dede edası ile kavuklarının arasında zıplayıp oyunlar uydurmamıza izin verirdi""
Words: ['yaramaz']
Suffixes: ['ımız', 'a', 'lik', 'imiz', 'lar', 'na', 'ler', 'ümüz', 'lık', 'e', 'ne', 'luk', 'lük', 'umuz']
Missing words: ['yaramazlıklarımıza']


Example 4:
Sentence: ""Eğer o insanlar sisteme karşı isyan etmeyip o akıntıya ___ kendilerini, günümüzdeki imkanlarımız daha kısıtlı olacaktı""
Words: ['bırak']
Suffixes: ['ydu', 'tu', 'tı', 'tü', 't', 'ydı', 'ytu', 'dü', 'lar', 'ler', 'ytü', 'yti', 'lr', 'ydi', 'yd', 'ydü', 'ti', 'yt', 'ytı', 'd', 'du', 'se', 'dı', 'sa', 's', 'di']
Missing words: 
",['bıraksalardı'],bfill
bilkent-turkish-writings-368,"Anlatmaya nereden başlayacağını bilmemek, neler düşündüğünü ___",['açık'],"['y', 'mk', 'me', 'a', 'le', 'mek', 'ma', 'la', 'ye', 'e', 'mak', 'l', 'ya', '', 'm']","You are given a sentence in Turkish with missing words and your task is to fill in the blanks with the words constructed from the given word roots and suffixes. You are allowed to use only the given words and suffixes. Output only the missing words inside square brackets separated by commas according to their order in the given sentence.

Example 1:
Sentence: ""Marilyn Monroe ___ hep güzel sarışın olarak kaldı""
Words: ['akıl']
Suffixes: ['de', 'lar', 'da', 'ler']
Missing words: ['akıllarda']


Example 2:
Sentence: ""Kitap, dizi kadar hatta belki diziden de ___""
Words: ['sürükle']
Suffixes: ['dı', 'ydi', 'ydı', 'di', 'yici', 'ici', 'ıcı', 'yıcı']
Missing words: ['sürükleyiciydi']


Example 3:
Sentence: ""Babacan diyorum çünkü çocukluğumuzda bizi hep kucaklardı, ___ ses çıkarmayan yaşlı bir dede edası ile kavuklarının arasında zıplayıp oyunlar uydurmamıza izin verirdi""
Words: ['yaramaz']
Suffixes: ['ımız', 'a', 'lik', 'imiz', 'lar', 'na', 'ler', 'ümüz', 'lık', 'e', 'ne', 'luk', 'lük', 'umuz']
Missing words: ['yaramazlıklarımıza']


Example 4:
Sentence: ""Anlatmaya nereden başlayacağını bilmemek, neler düşündüğünü ___""
Words: ['açık']
Suffixes: ['y', 'mk', 'me', 'a', 'le', 'mek', 'ma', 'la', 'ye', 'e', 'mak', 'l', 'ya', '', 'm']
Missing words: 
",['açıklayamamak'],bfill
bilkent-turkish-writings-398,Bizi ___ bir şey kalmamıştır artık hayatımızda,['merak'],"['lan', '', 'dür', 'ln', 'ya', 'tır', 'tür', 'dur', 'y', 'dir', 'ye', 'tur', 'tir', 'n', 'e', 'tr', 'dr', 'a', 'dır', 'len']","You are given a sentence in Turkish with missing words and your task is to fill in the blanks with the words constructed from the given word roots and suffixes. You are allowed to use only the given words and suffixes. Output only the missing words inside square brackets separated by commas according to their order in the given sentence.

Example 1:
Sentence: ""Marilyn Monroe ___ hep güzel sarışın olarak kaldı""
Words: ['akıl']
Suffixes: ['de', 'lar', 'da', 'ler']
Missing words: ['akıllarda']


Example 2:
Sentence: ""Kitap, dizi kadar hatta belki diziden de ___""
Words: ['sürükle']
Suffixes: ['dı', 'ydi', 'ydı', 'di', 'yici', 'ici', 'ıcı', 'yıcı']
Missing words: ['sürükleyiciydi']


Example 3:
Sentence: ""Babacan diyorum çünkü çocukluğumuzda bizi hep kucaklardı, ___ ses çıkarmayan yaşlı bir dede edası ile kavuklarının arasında zıplayıp oyunlar uydurmamıza izin verirdi""
Words: ['yaramaz']
Suffixes: ['ımız', 'a', 'lik', 'imiz', 'lar', 'na', 'ler', 'ümüz', 'lık', 'e', 'ne', 'luk', 'lük', 'umuz']
Missing words: ['yaramazlıklarımıza']


Example 4:
Sentence: ""Bizi ___ bir şey kalmamıştır artık hayatımızda""
Words: ['merak']
Suffixes: ['lan', '', 'dür', 'ln', 'ya', 'tır', 'tür', 'dur', 'y', 'dir', 'ye', 'tur', 'tir', 'n', 'e', 'tr', 'dr', 'a', 'dır', 'len']
Missing words: 
",['meraklandıran'],bfill
bilkent-turkish-writings-4599,Çoğumuz kelimelere kendi hayatımızı ___ farkında bile olmayız,['yansı'],"['tük', 'ümuz', 'dk', 'mz', 'ımz', 'mız', 'tk', 'umuz', 'nün', 'ımız', 'umiz', 'dık', 'nın', 'ümüz', 'dik', 'nn', 'imiz', 'imız', 'ımiz', 'n', 'imuz', 'müz', 'umız', 'ımuz', 'tık', 'nin', 'ümz', 'ümiz', 'ımüz', 'un', 'tik', 'dük', 'imz', 'in', 'ümız', 'imüz', 'nun', 'umüz', 'miz', 't', 'ın', 'ün', 'tuk', 'duk', 'umz', 'muz']","You are given a sentence in Turkish with missing words and your task is to fill in the blanks with the words constructed from the given word roots and suffixes. You are allowed to use only the given words and suffixes. Output only the missing words inside square brackets separated by commas according to their order in the given sentence.

Example 1:
Sentence: ""Marilyn Monroe ___ hep güzel sarışın olarak kaldı""
Words: ['akıl']
Suffixes: ['de', 'lar', 'da', 'ler']
Missing words: ['akıllarda']


Example 2:
Sentence: ""Kitap, dizi kadar hatta belki diziden de ___""
Words: ['sürükle']
Suffixes: ['dı', 'ydi', 'ydı', 'di', 'yici', 'ici', 'ıcı', 'yıcı']
Missing words: ['sürükleyiciydi']


Example 3:
Sentence: ""Babacan diyorum çünkü çocukluğumuzda bizi hep kucaklardı, ___ ses çıkarmayan yaşlı bir dede edası ile kavuklarının arasında zıplayıp oyunlar uydurmamıza izin verirdi""
Words: ['yaramaz']
Suffixes: ['ımız', 'a', 'lik', 'imiz', 'lar', 'na', 'ler', 'ümüz', 'lık', 'e', 'ne', 'luk', 'lük', 'umuz']
Missing words: ['yaramazlıklarımıza']


Example 4:
Sentence: ""Çoğumuz kelimelere kendi hayatımızı ___ farkında bile olmayız""
Words: ['yansı']
Suffixes: ['tük', 'ümuz', 'dk', 'mz', 'ımz', 'mız', 'tk', 'umuz', 'nün', 'ımız', 'umiz', 'dık', 'nın', 'ümüz', 'dik', 'nn', 'imiz', 'imız', 'ımiz', 'n', 'imuz', 'müz', 'umız', 'ımuz', 'tık', 'nin', 'ümz', 'ümiz', 'ımüz', 'un', 'tik', 'dük', 'imz', 'in', 'ümız', 'imüz', 'nun', 'umüz', 'miz', 't', 'ın', 'ün', 'tuk', 'duk', 'umz', 'muz']
Missing words: 
",['yansıttığımızın'],bfill
bilkent-turkish-writings-5084,___ güç problemler çoğu kez öğretmenimize sormayı ve cevabını öğrenmeyi gerektirir,['çöz'],"['l', 'me', 'sü', 'si', 'ıl', 'sı', 'il', 'ul', 'm', 'ma', 'ül', 's', 'su']","You are given a sentence in Turkish with missing words and your task is to fill in the blanks with the words constructed from the given word roots and suffixes. You are allowed to use only the given words and suffixes. Output only the missing words inside square brackets separated by commas according to their order in the given sentence.

Example 1:
Sentence: ""Marilyn Monroe ___ hep güzel sarışın olarak kaldı""
Words: ['akıl']
Suffixes: ['de', 'lar', 'da', 'ler']
Missing words: ['akıllarda']


Example 2:
Sentence: ""Kitap, dizi kadar hatta belki diziden de ___""
Words: ['sürükle']
Suffixes: ['dı', 'ydi', 'ydı', 'di', 'yici', 'ici', 'ıcı', 'yıcı']
Missing words: ['sürükleyiciydi']


Example 3:
Sentence: ""Babacan diyorum çünkü çocukluğumuzda bizi hep kucaklardı, ___ ses çıkarmayan yaşlı bir dede edası ile kavuklarının arasında zıplayıp oyunlar uydurmamıza izin verirdi""
Words: ['yaramaz']
Suffixes: ['ımız', 'a', 'lik', 'imiz', 'lar', 'na', 'ler', 'ümüz', 'lık', 'e', 'ne', 'luk', 'lük', 'umuz']
Missing words: ['yaramazlıklarımıza']


Example 4:
Sentence: ""___ güç problemler çoğu kez öğretmenimize sormayı ve cevabını öğrenmeyi gerektirir""
Words: ['çöz']
Suffixes: ['l', 'me', 'sü', 'si', 'ıl', 'sı', 'il', 'ul', 'm', 'ma', 'ül', 's', 'su']
Missing words: 
",['Çözülmesi'],bfill
bilkent-turkish-writings-3754,İnsanlar bu düşünce ___ hayatları boyunca öylesine maruz kalıyorlar ki artık böylesi yaklaşımlar kemikleşiyor,['yapı'],"['e', 'y', 'sin', 'sn', 'ya', 'sun', 'ye', 'sın', '', 'a', 'sün']","You are given a sentence in Turkish with missing words and your task is to fill in the blanks with the words constructed from the given word roots and suffixes. You are allowed to use only the given words and suffixes. Output only the missing words inside square brackets separated by commas according to their order in the given sentence.

Example 1:
Sentence: ""Marilyn Monroe ___ hep güzel sarışın olarak kaldı""
Words: ['akıl']
Suffixes: ['de', 'lar', 'da', 'ler']
Missing words: ['akıllarda']


Example 2:
Sentence: ""Kitap, dizi kadar hatta belki diziden de ___""
Words: ['sürükle']
Suffixes: ['dı', 'ydi', 'ydı', 'di', 'yici', 'ici', 'ıcı', 'yıcı']
Missing words: ['sürükleyiciydi']


Example 3:
Sentence: ""Babacan diyorum çünkü çocukluğumuzda bizi hep kucaklardı, ___ ses çıkarmayan yaşlı bir dede edası ile kavuklarının arasında zıplayıp oyunlar uydurmamıza izin verirdi""
Words: ['yaramaz']
Suffixes: ['ımız', 'a', 'lik', 'imiz', 'lar', 'na', 'ler', 'ümüz', 'lık', 'e', 'ne', 'luk', 'lük', 'umuz']
Missing words: ['yaramazlıklarımıza']


Example 4:
Sentence: ""İnsanlar bu düşünce ___ hayatları boyunca öylesine maruz kalıyorlar ki artık böylesi yaklaşımlar kemikleşiyor""
Words: ['yapı']
Suffixes: ['e', 'y', 'sin', 'sn', 'ya', 'sun', 'ye', 'sın', '', 'a', 'sün']
Missing words: 
",['yapısına'],bfill
bilkent-turkish-writings-5268,"Peki, ne kazanmak, neyi kazanmak… Büyüklerimiz tarafından ___ kazınan; Gelecekte iyi bir meslek sahibi olup, rahat bir yaşam sürdürebilmek adına, çalışmak, çok çalışmak, daha çok çalışmak zorunda kaldığımız sınavları kazanmak",['beyin'],"['y', 'e', 'ya', 'uz', 'üz', 'um', 'ye', 'yz', 'im', 'iz', 'yüz', 'üm', 'a', 'ım', 'yuz', 'z', 'ız', 'yız', 'm', '', 'yiz']","You are given a sentence in Turkish with missing words and your task is to fill in the blanks with the words constructed from the given word roots and suffixes. You are allowed to use only the given words and suffixes. Output only the missing words inside square brackets separated by commas according to their order in the given sentence.

Example 1:
Sentence: ""Marilyn Monroe ___ hep güzel sarışın olarak kaldı""
Words: ['akıl']
Suffixes: ['de', 'lar', 'da', 'ler']
Missing words: ['akıllarda']


Example 2:
Sentence: ""Kitap, dizi kadar hatta belki diziden de ___""
Words: ['sürükle']
Suffixes: ['dı', 'ydi', 'ydı', 'di', 'yici', 'ici', 'ıcı', 'yıcı']
Missing words: ['sürükleyiciydi']


Example 3:
Sentence: ""Babacan diyorum çünkü çocukluğumuzda bizi hep kucaklardı, ___ ses çıkarmayan yaşlı bir dede edası ile kavuklarının arasında zıplayıp oyunlar uydurmamıza izin verirdi""
Words: ['yaramaz']
Suffixes: ['ımız', 'a', 'lik', 'imiz', 'lar', 'na', 'ler', 'ümüz', 'lık', 'e', 'ne', 'luk', 'lük', 'umuz']
Missing words: ['yaramazlıklarımıza']


Example 4:
Sentence: ""Peki, ne kazanmak, neyi kazanmak… Büyüklerimiz tarafından ___ kazınan; Gelecekte iyi bir meslek sahibi olup, rahat bir yaşam sürdürebilmek adına, çalışmak, çok çalışmak, daha çok çalışmak zorunda kaldığımız sınavları kazanmak""
Words: ['beyin']
Suffixes: ['y', 'e', 'ya', 'uz', 'üz', 'um', 'ye', 'yz', 'im', 'iz', 'yüz', 'üm', 'a', 'ım', 'yuz', 'z', 'ız', 'yız', 'm', '', 'yiz']
Missing words: 
",['beynimize'],bfill
