root,affixes,answer
birşey,ler,birşeyler
kal,ım,kalım
gerek,"ir, se",gerekirse
yemek,"ten, se",yemektense
kazan,"dır, lar, ır",kazandırırlar
şimdi,"yse, de, ler",şimdilerdeyse
kurcala,"iz, sin, yabil, ir",kurcalayabilirsiniz
oluş,"ir, abil, iz, tur",oluşturabiliriz
gerçek,"leş, ni, me, si, me",gerçekleşmemesini
arka,"i, sı, ki, ler, nda",arkasındakileri
başarı,"sız, a, ız, lar, lık, ın",başarısızlıklarınıza
yargı,"la, ndan, dığ, ı, ma, dır",yargılamadığındandır
aptal,"ma, lar, laş, a, dık, ı, tır",aptallaştıramadıkları
akıl,"ı, dır, lan, ın, ıl, ma, yacağ",akıllandırılmayacağını
